name,gender ,year_of_birth,color,height_cm,Studbook,ueln,fei id,Microchip ,breeder ,owner,sire,dam,
COR DE LA BRYERE,Stallion ,1968,DARK BAY,169,SF,25000160011506B,,-,-,-,RANTZAU XX,QUENOTTE,
AKTIE,MARE,1964,BAY,169,HOLST,-,,-,-,-,FAX I,IRMTRUD,
AHORN Z,Stallion ,1979,BAY,172,HANN,-,,-,-,-,ALME,HEUREKA Z,
UVA,MARE,1982,BAY,161,HOLST,-,,-,-,-,OTHELLO,PAPAYA,
CANBERRA S,Stallion ,2025,BAY POSSIBLY GREY,,AES,826002202501814A,,990000013147336A,HASAN BURAK SAGLAMER ,HASAN BURAK SAGLAMER ,SPIDER MAN,SYDNEY ,
SPIDERMAN,Stallion ,,PIEBALD,150,BFSA,100003000064553A,,100000000000955A,-,HASAN BURAK SAGLAMER ,-,-,
SYDNEY ,MARE,2014,GREY,,AES,826002201400023A,,900193000620199A,HASAN BURAK SAGLAMER ,HASAN BURAK SAGLAMER ,-,-,
LAUREEN VAN TER HILST,MARE,2017,BAY,163,AES,826002170880754A,,934000080035679A,SARA PANIS,SARA PANIS,ANTRES VAN TER HILST,CARAMEL VAN TER HILST,
CARAMEL VAN TER HILST,MARE,2008,DARK BAY,,SBS,056007000C44762,,-,-,-,CHURCHILL,PIMPERNEL VAN TER HILST,
PIMPERNEL VAN TER HILAT,MARE,1999,BAY,167,SBS,056007000P33666,,-,-,-,CLOVIS DE GOUDAL X,LORINA,
CLOVIS DE GOUDAL X,Stallion ,1990,CHESTNUT,166,AA,-,,-,-,-,RIAGO X,OPTION DA GOUDAL X,
LORINA,MARE,1993,BAY,,KWPN,-,,-,-,-,BERNSTEIN,ELSABIENA,
RIAGO X,Stallion ,,,,,,,,-,,,,
OPTION DA GOUDAL X,MARE,,,,,,,,-,,,,
BERNSTEIN,Stallion ,,,,,,,,-,,,,
ELSABIENA,MARE,,,,,,,,-,,,,
CHUMANCHO D&R,Stallion ,2021,BAY,,AES,528008202100396A,,528210006333208 A, R. WIJDEVEN,D&R SPORTPONY'S,,,
,,,,,,,,,,,,,
D&R SPORTPONY'S ZIDANE,Stallion ,2021,DARK CHESTNUT ,,NRPS,528008202100139A,,528210006315643 A,N.VAN DE RAKT,SASIKA BAN DEN ELZEN,,,
,,,,,,,,,,,,,
REXTER  D'OR,Stallion ,2005,GREY,,AES,25000105107599L,,250259700030500 A,HURBERT LEBRUN,BARRIE &HEATHER TRUELOVE,DEXTER LEAM PONDI,NEIGE D'OR,
,,,,,,,,,,,,,
